1392	1	زبان تخصصی (111733گروه1 )	2	كارشناسي	دانشکده علوم ریاضی
1392	1	سمینار (ریاضی)                           (115104گروه2 )	2	كارشناسي ارشد	دانشکده علوم ریاضی
1392	1	سمینار (ریاضی)                           (115104گروه3 )	2	كارشناسي ارشد	دانشکده علوم ریاضی
1392	1	مباحثی در نظریه محاسباتی گروه‌ها (115142گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1392	1	مباحثی در نظریه محاسباتی گروه‌ها (118141گروه1 )	4	PhD	دانشکده علوم ریاضی
1391	2	پروژه کارشناسی (22099گروه1 )	3	كارشناسي	دانشکده علوم ریاضی
1391	2	مبانی ترکیبیات (111798گروه1 )	3	كارشناسي	دانشکده علوم ریاضی
1391	2	نظریه نمایش گروه‌ها                      (115129گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1391	2	گراف‌های قفسی (115189گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1391	2	نظریه نمایش گروه‌ها (118137گروه1 )	4	PhD	دانشکده علوم ریاضی
1391	2	گراف‌های قفسی (118164گروه1 )	4	PhD	دانشکده علوم ریاضی
1391	1	پروژه کارشناسی (22099گروه1 )	3	كارشناسي	دانشکده علوم ریاضی
1391	1	سمینار (ریاضی)                           (115104گروه3 )	2	كارشناسي ارشد	دانشکده علوم ریاضی
1391	1	سمینار (ریاضی)                           (115104گروه2 )	2	كارشناسي ارشد	دانشکده علوم ریاضی
1391	1	گروه‌های جایگشتی (115175گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1391	1	گروه‌های جایگشتی (118112گروه1 )	4	PhD	دانشکده علوم ریاضی
1391	1	مباحث ویژه 2 (ریاضی) (118119گروه2 )	4	PhD	دانشکده علوم ریاضی
1390	2	سمینار (ریاضی)                           (115104گروه4 )	2	كارشناسي ارشد	دانشکده علوم ریاضی
1390	2	پایان نامه (ریاضی)                               (115105گروه3 )	6	كارشناسي ارشد	دانشکده علوم ریاضی
1390	2	گروه‌های متناهى                           (115127گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
